"","Group.1","Group.2","PovGap","PovGapSqr","floor","floor.cal"
"1",1981,1,0.14828613425219,0.0702680376761479,0.526132109178574,1104.87742927501
"2",1984,1,0.111523690950241,0.0512803181077487,0.540184532355294,1134.38751794612
"3",1987,1,0.0945305628193049,0.0440917284845547,0.533571713004227,1120.50059730888
"4",1990,1,0.0936392030819223,0.0429750476529569,0.541057097470605,1136.21990468827
"5",1993,1,0.0897092380830321,0.0419262147233253,0.53264328602903,1118.55090066096
"6",1996,1,0.0744837151346187,0.0351549243382704,0.528018651127527,1108.83916736781
"7",1999,1,0.0721614668347001,0.0336175931974085,0.534133732696756,1121.68083866319
"8",2002,1,0.0574630635726074,0.0259183955175348,0.548955556732794,1152.80666913887
"9",2005,1,0.043853594058936,0.0201403979847023,0.540735521981732,1135.54459616164
"10",2008,1,0.0348070100133459,0.0154851133878717,0.555115093714331,1165.7416968001
"11",2010,1,0.0296873839015003,0.0134351469468848,0.54744591199207,1149.63641518335
"12",2011,1,0.0266489194164749,0.0122787135035617,0.539241598818047,1132.4073575179
"13",2012,1,0.0246457798364706,0.0113201050908114,0.540687891966803,1135.44457313029
"14",2013,1,0.0230194047302437,0.0107150337469284,0.53452168409678,1122.49553660324
"15",2015,1,0.0218300903442913,0.0102561810367975,0.53018146626775,1113.38107916228
